ioc,ioc_type,verdict,vt_malicious,vt_total,otx_pulses,providers,first_host,source,checked_at
4a3a96db1d4ce4acf605770d283ef2ae4656b43a217c66929589d40d9cbcb801,sha256,unknown,0,,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
4b4d6d10c3e6c4bda8f934997d1fdd4e006546e46487e1ab614c8910d4640aa0,sha256,clean,0,57,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
5114109b3be679307640e9fa28340774e5e44c7f14ebcee1689fbc97a30814c5,sha256,clean,0,57,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
516b2a9f11c74c37da005abe0df7f2ab9f5cbbc5033326767dd1b31889cc5437,sha256,clean,0,57,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
5420d06d802ce015301578347c529405f7015a59a47097af26616a8ab57b39ec,sha256,malicious,1,75,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
58ef8b107ff1638eaf8a405309c1610988524f597b53a40d621b5fa8a3f24bcd,sha256,clean,0,70,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
5957202090c6f7ff782669a111ca97eb595e044990fa2e0ee64537a6f7da609f,sha256,clean,0,76,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,sha256,malicious,52,76,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
5e7d48fc77702b0649f2ade58d1d456ef021789c3d397842c3cccf3369191cd6,sha256,clean,0,57,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
62d58d4308c8fa019963ea5338834c57e6b381dd5a9589dcdbe345424e8577b4,sha256,clean,0,57,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
6641e59a2b681250fd314d33243018315cc55eb165cc989a7e8422b522f8f69c,sha256,clean,0,76,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
6a55b0c3ab5f557dfb7a3f8bd616ede1bd9b93198590fc9d52aa19c1154388c5,sha256,unknown,0,,0,otx|virustotal,win7-32-nromanoff,ti-report+ES,2026-06-10T18:39:55.186656+00:00
6c2b1180957d04231ea1c7d65b6c8d47bd18fa12707c6717c281f40ce91d370d,sha256,clean,0,57,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
6e70645c80b79a97bd7038cc1ca5672d53f228125f2bfa61fc1ea120e10f5036,sha256,clean,0,76,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
6eef2381040cd38ce5974ef954121e136bd93ec4039d49925438c92ef5f3dead,sha256,malicious,41,76,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
72811c387659ad2f6489a23d9710ee4aff3a113ca1b17a662e273e4b2d4bbdb9,sha256,clean,0,55,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
73cb9ad706455f0a115338784f5bf9c24e7ea22dcfd69f93dd9b3f375fe00231,sha256,malicious,1,71,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
75039d2ed255e5ea9366ac7ac794e5db0a17548950f8c734be197ed09f18110a,sha256,unknown,0,,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
7ac2c89cfeac7777e2c9c91d32102596d0017c1a2fa1705c05d190b9714c8a27,sha256,clean,0,75,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
83757068a804446e02029b9b5456359c1444c57c9d595cf0ffbd7f3d611c670d,sha256,unknown,0,,0,otx|virustotal,xp-tdungan,ti-report+ES,2026-06-10T18:39:55.186656+00:00
901f1ae9f30d3a914d8db7b2d66fdb373a33ec7bfaa9e60ffaf66d9700c2ff30,sha256,unknown,0,,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
95687effe7eea8b3a0aa507f531fa61c2c8827ff7471bef09d4b8101c3a8baad,sha256,unknown,0,,0,otx|virustotal,xp-tdungan,ti-report+ES,2026-06-10T18:39:55.186656+00:00
96dc1f1cc3c0b44ef9af72d1c18a8e6a4338c67988f303d05693ca4be6bf7eb9,sha256,clean,0,68,0,otx|virustotal,win7-32-nromanoff,ti-report+ES,2026-06-10T18:39:55.186656+00:00
970fc89629fbfc9884fe19b29c608168cf6b57c83acce9886510d790751714e4,sha256,unknown,0,,0,otx|virustotal,win7-32-nromanoff,ti-report+ES,2026-06-10T18:39:55.186656+00:00
9a7fd9f928c55f6b1ff5141687cf4e91e359319f40632a962bf5268d33eedbc8,sha256,clean,0,57,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
9b714e49a302ba73591ca9cb25c59da2721aa8582e6a16841b324e56402c0d4d,sha256,clean,0,69,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
9c852b7f36af7feeb8d04d198657f799cada0f84e31ff487afbd0997156fff8b,sha256,clean,0,70,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
9d3ec59859471712c5dc24c19a238f73bffedfb73f80fea6583ffe21bec53983,sha256,clean,0,75,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
a8f9a2103327bbc2bda06ff2db02ffe628978b115139f2b06d26a69dd79233f3,sha256,malicious,1,60,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
b0cb1d66eeb1a23c16b0e221c82bfacee40b61c84891aab4e119f010b0657bc3,sha256,clean,0,54,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
b295e1cadedd62927f3ebb6d1d1be92ce3600e79ea5928e8e551eb9bf1f06e4d,sha256,clean,0,56,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
bb552cf6eae814c5debaf080432c633cfd9dd16439828cc65029ba3b131af9d0,sha256,clean,0,55,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
bd70646f5f9bf7bf1952691272181b99b708c25892a546df50693d6014c1ba3d,sha256,clean,0,57,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
c2e1a391d6be9740e79da7944e012ad9ac878902db38ec7fc225a2a68d262a1b,sha256,clean,0,76,0,otx|virustotal,win7-32-nromanoff,ti-report+ES,2026-06-10T18:39:55.186656+00:00
d2bce24ef9d30b4e8514b30eff71c0d42039737ed31266984620f729eddc2018,sha256,clean,0,56,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
d2c21c84b65d644687b470688c70640cfa61256ec95f882d2a41f21e246e7cc1,sha256,clean,0,57,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
dcb0ab1c14e69877b9fbcda281eefba5fc4200502878515c6770e8607b6fddbf,sha256,clean,0,68,0,otx|virustotal,win7-32-nromanoff,ti-report+ES,2026-06-10T18:39:55.186656+00:00
dd8ac01d1d5e8865592443dc07faf1034fcc515f6522b2918ec7dc8bfe203ebd,sha256,malicious,1,71,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
e4fa730d00839aaaf4ae00fef4ab0854beccabfeb2541662a5391be85c48375c,sha256,malicious,43,74,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
e855864aba934e143745fe6e6ba2a08a75bdbe5a32ff0e27e00a852d00d264d7,sha256,malicious,1,72,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
e8ec6f363a3edbc22e607b199a733d776c179ed6c0a96ad19d723d0751b85c46,sha256,clean,0,74,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
eb9c9eb17f96c86bcfc2876909dddcd683c0079ec4de1b4b29e8ee2b36eb28cc,sha256,unknown,0,,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
edceb61e095548c4cecfb66a661ee2f2b744561437e28449d8d97373662d45ba,sha256,unknown,0,,0,otx|virustotal,xp-tdungan,ti-report+ES,2026-06-10T18:39:55.186656+00:00
eeacf1e41a0daf16c9ba1c4e40bbcecca8d88713d83773bae459fbdf441bfc00,sha256,unknown,0,,0,otx|virustotal,xp-tdungan,ti-report+ES,2026-06-10T18:39:55.186656+00:00
f293fdb96e6ed7e4ede7a173e5e47dd69a30edc6216e550787e7481d2df43cef,sha256,malicious,56,76,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
http://bit.ly/GEUMQQ,url,unknown,,,,,,ES-bundle,
AA951D0000007252,usb_serial,unknown,,,,,,ES-bundle,
